lr,hidden_dim1,hidden_dim2,weight_decay,activation,best_val_acc,elapsed,weight_path
0.05,512,1024,0.0005,tanh,0.6111111111111112,0,search_weights/model_lr0.05_h512-1024_wd0.0005_tanh.npz
0.05,512,256,0.0005,tanh,0.6093827160493828,0,search_weights/model_lr0.05_h512-256_wd0.0005_tanh.npz
0.05,512,512,0.001,tanh,0.6088888888888889,0,search_weights/model_lr0.05_h512-512_wd0.001_tanh.npz
0.05,1024,512,0.0005,tanh,0.6088888888888889,0,search_weights/model_lr0.05_h1024-512_wd0.0005_tanh.npz
0.05,512,1024,0.001,tanh,0.6083950617283951,0,search_weights/model_lr0.05_h512-1024_wd0.001_tanh.npz
0.05,512,1024,0.0,tanh,0.6069135802469136,0,search_weights/model_lr0.05_h512-1024_wd0.0_tanh.npz
0.05,512,256,0.0,tanh,0.6061728395061728,0,search_weights/model_lr0.05_h512-256_wd0.0_tanh.npz
0.05,512,256,0.001,tanh,0.6049382716049383,0,search_weights/model_lr0.05_h512-256_wd0.001_tanh.npz
0.05,512,512,0.0005,tanh,0.6044444444444445,0,search_weights/model_lr0.05_h512-512_wd0.0005_tanh.npz
0.01,2048,1024,0.0005,tanh,0.5997530864197531,598.9,search_weights/model_lr0.01_h2048-1024_wd0.0005_tanh.npz
0.01,2048,256,0.0005,tanh,0.5990123456790123,576.7,search_weights/model_lr0.01_h2048-256_wd0.0005_tanh.npz
0.01,2048,512,0.0,tanh,0.5990123456790123,503.5,search_weights/model_lr0.01_h2048-512_wd0.0_tanh.npz
0.01,2048,512,0.0005,tanh,0.5990123456790123,578.2,search_weights/model_lr0.01_h2048-512_wd0.0005_tanh.npz
0.01,512,512,0.0005,tanh,0.5982716049382716,0,search_weights/model_lr0.01_h512-512_wd0.0005_tanh.npz
0.01,1024,1024,0.0005,tanh,0.5967901234567902,289.7,search_weights/model_lr0.01_h1024-1024_wd0.0005_tanh.npz
0.01,2048,1024,0.0,tanh,0.5962962962962963,525.1,search_weights/model_lr0.01_h2048-1024_wd0.0_tanh.npz
0.01,2048,256,0.001,tanh,0.5958024691358025,563.4,search_weights/model_lr0.01_h2048-256_wd0.001_tanh.npz
0.01,512,1024,0.0,tanh,0.5955555555555555,149.6,search_weights/model_lr0.01_h512-1024_wd0.0_tanh.npz
0.01,2048,256,0.0,tanh,0.5948148148148148,489.7,search_weights/model_lr0.01_h2048-256_wd0.0_tanh.npz
0.01,1024,256,0.0,tanh,0.594320987654321,235.5,search_weights/model_lr0.01_h1024-256_wd0.0_tanh.npz
0.01,1024,512,0.0005,tanh,0.594320987654321,0,search_weights/model_lr0.01_h1024-512_wd0.0005_tanh.npz
0.01,512,1024,0.001,tanh,0.5935802469135802,163.7,search_weights/model_lr0.01_h512-1024_wd0.001_tanh.npz
0.01,1024,256,0.001,tanh,0.5930864197530864,0,search_weights/model_lr0.01_h1024-256_wd0.001_tanh.npz
0.01,2048,1024,0.001,tanh,0.5928395061728395,608.5,search_weights/model_lr0.01_h2048-1024_wd0.001_tanh.npz
